# Time step: 1
# Step  Temperature Total_energy E_pot E_kin
  116     70.0  -238.467770  -238.785040     0.317260
  117     70.0  -238.467770  -238.785750     0.317980
  118     71.0  -238.467760  -238.786930     0.319160
  119     71.0  -238.467750  -238.788560     0.320810
  120     71.0  -238.467750  -238.790670     0.322920
  121     72.0  -238.467740  -238.793220     0.325480
  122     73.0  -238.467740  -238.796220     0.328480
  123     73.0  -238.467730  -238.799620     0.331890
  124     74.0  -238.467720  -238.803400     0.335680
  125     75.0  -238.467720  -238.807530     0.339810
  126     76.0  -238.467710  -238.811930     0.344220
  127     77.0  -238.467700  -238.816560     0.348860
  128     78.0  -238.467690  -238.821360     0.353660
  129     79.0  -238.467680  -238.826240     0.358560
  130     80.0  -238.467680  -238.831150     0.363480
  131     81.0  -238.467660  -238.836000     0.368340
  132     82.0  -238.467650  -238.840710     0.373050
  133     83.0  -238.467650  -238.845200     0.377550
  134     84.0  -238.467640  -238.849380     0.381740
  135     85.0  -238.467630  -238.853170     0.385550
  136     86.0  -238.467610  -238.856490     0.388880
  137     87.0  -238.467590  -238.859260     0.391670
  138     87.0  -238.467590  -238.861430     0.393840
  139     87.0  -238.467580  -238.862900     0.395320
  140     88.0  -238.467570  -238.863620     0.396050
  141     88.0  -238.467540  -238.863520     0.395980
  142     87.0  -238.467540  -238.862600     0.395060
  143     87.0  -238.467520  -238.860780     0.393260
  144     86.0  -238.467500  -238.858050     0.390550
  145     86.0  -238.467490  -238.854400     0.386910
  146     85.0  -238.467470  -238.849800     0.382330
  147     83.0  -238.467440  -238.844270     0.376830
  148     82.0  -238.467420  -238.837830     0.370410
  149     80.0  -238.467400  -238.830510     0.363110
  150     78.0  -238.467390  -238.822340     0.354950
  151     76.0  -238.467380  -238.813370     0.345990
  152     74.0  -238.467360  -238.803640     0.336290
  153     72.0  -238.467330  -238.793240     0.325910
  154     70.0  -238.467310  -238.782230     0.314920
  155     67.0  -238.467290  -238.770710     0.303420
  156     64.0  -238.467270  -238.758770     0.291490
  157     62.0  -238.467250  -238.746490     0.279230
  158     59.0  -238.467230  -238.733970     0.266740
  159     56.0  -238.467210  -238.721340     0.254130
  160     53.0  -238.467200  -238.708700     0.241500
  161     51.0  -238.467170  -238.696130     0.228960
  162     48.0  -238.467160  -238.683790     0.216630
  163     45.0  -238.467140  -238.671740     0.204600
  164     43.0  -238.467130  -238.660110     0.192990
  165     40.0  -238.467110  -238.649000     0.181900
  166     38.0  -238.467090  -238.638510     0.171420
  167     36.0  -238.467080  -238.628740     0.161660
  168     34.0  -238.467060  -238.619760     0.152690
  169     32.0  -238.467050  -238.611650     0.144600
  170     30.0  -238.467040  -238.604500     0.137460
  171     29.0  -238.467030  -238.598350     0.131330
  172     28.0  -238.467020  -238.593270     0.126250
  173     27.0  -238.467010  -238.589300     0.122290
  174     26.0  -238.467000  -238.586460     0.119460
  175     26.0  -238.467000  -238.584790     0.117790
  176     26.0  -238.467000  -238.584290     0.117290
  177     26.0  -238.467000  -238.584960     0.117970
  178     26.0  -238.466990  -238.586800     0.119800
  179     27.0  -238.466990  -238.589770     0.122780
  180     28.0  -238.466990  -238.593870     0.126880
  181     29.0  -238.466990  -238.599040     0.132050
  182     31.0  -238.466990  -238.605230     0.138240
  183     32.0  -238.467000  -238.612400     0.145400
  184     34.0  -238.467010  -238.620480     0.153470
  185     36.0  -238.467010  -238.629390     0.162380
  186     38.0  -238.467010  -238.639060     0.172050
  187     40.0  -238.467020  -238.649410     0.182390
  188     43.0  -238.467040  -238.660370     0.193330
  189     45.0  -238.467040  -238.671820     0.204780
  190     48.0  -238.467050  -238.683690     0.216640
  191     51.0  -238.467060  -238.695880     0.228820
  192     53.0  -238.467080  -238.708320     0.241240
  193     56.0  -238.467090  -238.720890     0.253800
  194     59.0  -238.467100  -238.733520     0.266420
  195     62.0  -238.467110  -238.746120     0.279010
  196     64.0  -238.467120  -238.758600     0.291480
  197     67.0  -238.467130  -238.770900     0.303770
  198     70.0  -238.467150  -238.782940     0.315790
  199     72.0  -238.467160  -238.794640     0.327480
  200     75.0  -238.467180  -238.805960     0.338780
  201     77.0  -238.467190  -238.816820     0.349630
  202     80.0  -238.467210  -238.827210     0.360000
  203     82.0  -238.467220  -238.837050     0.369830
  204     84.0  -238.467230  -238.846330     0.379100
  205     86.0  -238.467240  -238.855020     0.387780
  206     87.0  -238.467260  -238.863110     0.395850
  207     89.0  -238.467280  -238.870580     0.403300
  208     91.0  -238.467290  -238.877420     0.410130
  209     92.0  -238.467310  -238.883650     0.416340
  210     93.0  -238.467320  -238.889270     0.421950
  211     94.0  -238.467330  -238.894290     0.426950
  212     95.0  -238.467350  -238.898730     0.431380
  213     96.0  -238.467360  -238.902620     0.435260
  214     97.0  -238.467380  -238.905990     0.438610
  215     98.0  -238.467390  -238.908850     0.441460
  216     98.0  -238.467400  -238.911250     0.443850
  217     99.0  -238.467420  -238.913220     0.445800
  218     99.0  -238.467440  -238.914790     0.447350
